Name,Year,Type,Genre,MovieScore,Metascore,Duration,MovieColor,MovieLanguage,MovieWorldwideGross,MovieURL,Total_Votes
Supernatural,-,TV Series,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",8.4,0,44,Color,English,0,https://www.imdb.com/title/tt0460681/,357035
Westworld,-,TV Series,"['Drama', 'Mystery', 'Sci-Fi', 'Western']",8.8,0,62,Color,English,0,https://www.imdb.com/title/tt0475784/,360090
Agents of S.H.I.E.L.D.,-,TV Series,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",7.5,0,45,Color,English,0,https://www.imdb.com/title/tt2364582/,186420
Aladdin ,2019,Movie,"['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",7.2,53,128,Color,Arabic,1044077559,https://www.imdb.com/title/tt6139732/,119428
After ,2019,Movie,"['Drama', 'Romance']",5.4,30,105,Color,English,69497587,https://www.imdb.com/title/tt4126476/,17053
Yellowstone,-,TV Series,"['Drama', 'Western']",8.4,0,60,Color,English,0,https://www.imdb.com/title/tt4236770/,12638
Pokémon Detective Pikachu ,2019,Movie,"['Action', 'Adventure', 'Comedy', 'Family', 'Mystery', 'Sci-Fi']",6.7,53,104,Color,English,431605346,https://www.imdb.com/title/tt5884052/,90827
Glee,-,TV Series,"['Comedy', 'Drama', 'Music', 'Musical']",6.7,0,0,Color,English,0,https://www.imdb.com/title/tt1327801/,128226
The Big Bang Theory,-,TV Series,"['Comedy', 'Romance']",8.1,0,22,Color,Klingon,0,https://www.imdb.com/title/tt0898266/,661340
Designated Survivor,-,TV Series,"['Action', 'Drama', 'Mystery', 'Thriller']",7.6,0,60,Color,English,0,https://www.imdb.com/title/tt5296406/,64690
Spider-Man: Into the Spider-Verse ,2018,Movie,"['Animation', 'Action', 'Adventure', 'Family', 'Sci-Fi']",8.4,87,117,Color,English,375540831,https://www.imdb.com/title/tt4633694/,253214
John Wick: Chapter 3 - Parabellum ,2019,Movie,"['Action', 'Crime', 'Thriller']",7.7,73,131,Color,Mandarin,321565683,https://www.imdb.com/title/tt6146586/,147999
Vikings,-,TV Series,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']",8.6,0,44,Color,French,0,https://www.imdb.com/title/tt2306299/,351872
Animal Kingdom,-,TV Series,"['Crime', 'Drama']",8.2,0,60,Color,English,0,https://www.imdb.com/title/tt5574490/,19529
Captain Marvel ,2019,Movie,"['Action', 'Adventure', 'Sci-Fi']",7,64,123,Color,English,1128274794,https://www.imdb.com/title/tt4154664/,353257
Brooklyn Nine-Nine,-,TV Series,"['Comedy', 'Crime']",8.4,0,22,Color,English,0,https://www.imdb.com/title/tt2467372/,161353
Grey's Anatomy,-,TV Series,"['Drama', 'Romance']",7.6,0,41,Color,English,0,https://www.imdb.com/title/tt0413573/,217150
Riverdale,-,TV Series,"['Crime', 'Drama', 'Mystery', 'Romance']",7.2,0,45,Color,English,0,https://www.imdb.com/title/tt5420376/,93782
Bohemian Rhapsody ,2018,Movie,"['Biography', 'Drama', 'Music']",8,49,134,Color,English,903655259,https://www.imdb.com/title/tt1727824/,374722
It ,2017,Movie,['Horror'],7.4,69,135,Color,English,700393105,https://www.imdb.com/title/tt1396484/,378522
Blade Runner ,1982,Movie,"['Action', 'Sci-Fi', 'Thriller']",8.1,89,117,Color,English,41671264,https://www.imdb.com/title/tt0083658/,637254
Fear the Walking Dead,-,TV Series,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",6.9,0,44,Color,English,0,https://www.imdb.com/title/tt3743822/,102515
The Expanse,-,TV Series,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",8.4,0,60,Color,English,0,https://www.imdb.com/title/tt3230854/,73475
Stuber ,2019,Movie,"['Action', 'Comedy', 'Crime', 'Thriller']",6.2,42,93,Color,English,31870226,https://www.imdb.com/title/tt7734218/,9004
Super 30 ,2019,Movie,"['Biography', 'Drama']",8.5,0,154,Color,Hindi,3930481,https://www.imdb.com/title/tt7485048/,8606
Arrow,-,TV Series,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Sci-Fi']",7.6,0,42,Color,English,0,https://www.imdb.com/title/tt2193021/,383867
In the Dark,-,TV Series,"['Comedy', 'Drama']",7.3,0,42,Color,English,0,https://www.imdb.com/title/tt7772602/,2943
Us ,2019,Movie,"['Horror', 'Mystery', 'Thriller']",7,81,116,Color,English,254743367,https://www.imdb.com/title/tt6857112/,144038
Mary Poppins Returns ,2018,Movie,"['Comedy', 'Family', 'Fantasy', 'Musical']",6.8,66,130,Color,English,349537494,https://www.imdb.com/title/tt5028340/,59834
Inglourious Basterds ,2009,Movie,"['Adventure', 'Drama', 'War']",8.3,69,153,Color,English,321455689,https://www.imdb.com/title/tt0361748/,1144743
Zombieland ,2009,Movie,"['Adventure', 'Comedy', 'Horror', 'Sci-Fi']",7.6,73,88,Color,English,102392080,https://www.imdb.com/title/tt1156398/,467497
Criminal Minds,-,TV Series,"['Crime', 'Drama', 'Mystery', 'Thriller']",8.1,0,42,Color,English,0,https://www.imdb.com/title/tt0452046/,140520
Rocketman ,2019,Movie,"['Biography', 'Drama', 'Music', 'Musical']",7.5,69,121,Color,English,190456227,https://www.imdb.com/title/tt2066051/,60499
Pennyworth,-,TV Series,"['Action', 'Crime', 'Drama']",8,0,60,Color,English,0,https://www.imdb.com/title/tt8425532/,2286
Killing Eve,-,TV Series,"['Drama', 'Thriller']",8.3,0,43,Color,English,0,https://www.imdb.com/title/tt7016936/,51975
